mutation_id	sample_id	cluster_id	cellular_prevalence	cellular_prevalence_std	cluster_assignment_prob
b'12:25263160'	b'A25'	0	0.9797	0.0168	0.6315
b'13:52952356'	b'A25'	0	0.9797	0.0168	0.6315
b'13:73638021'	b'A25'	0	0.9797	0.0168	0.5453
b'13:76395306'	b'A25'	0	0.9797	0.0168	0.6315
b'14:42355930'	b'A25'	0	0.9797	0.0168	0.5866
b'14:66082791'	b'A25'	0	0.9797	0.0168	0.4811
b'14:69697184'	b'A25'	0	0.9797	0.0168	0.5089
b'14:91808852'	b'A25'	0	0.9797	0.0168	0.6315
b'15:33962664'	b'A25'	0	0.9797	0.0168	0.7334
b'15:58306519'	b'A25'	0	0.9797	0.0168	0.5905
b'16:31372476'	b'A25'	0	0.9797	0.0168	0.6555
b'17:12917792'	b'A25'	0	0.9797	0.0168	0.6357
b'17:56271292'	b'A25'	0	0.9797	0.0168	0.6457
b'17:6381864'	b'A25'	0	0.9797	0.0168	0.6648
b'17:72861024'	b'A25'	0	0.9797	0.0168	0.5654
b'19:12917946'	b'A25'	0	0.9797	0.0168	0.4882
b'1:152282992'	b'A25'	0	0.9797	0.0168	0.9258
b'1:154295757'	b'A25'	0	0.9797	0.0168	0.9364
b'1:160654930'	b'A25'	0	0.9797	0.0168	0.9263
b'1:161476484'	b'A25'	0	0.9797	0.0168	0.8531
b'1:180240489'	b'A25'	0	0.9797	0.0168	0.5179
b'1:201981200'	b'A25'	0	0.9797	0.0168	0.9538
b'1:205811379'	b'A25'	0	0.9797	0.0168	0.8531
b'1:205886415'	b'A25'	0	0.9797	0.0168	0.6421
b'1:207642488'	b'A25'	0	0.9797	0.0168	0.9943
b'1:214817900'	b'A25'	0	0.9797	0.0168	0.6457
b'1:238051838'	b'A25'	0	0.9797	0.0168	0.8783
b'20:37531309'	b'A25'	0	0.9797	0.0168	0.6849
b'20:44258364'	b'A25'	0	0.9797	0.0168	0.5353
b'2:179410950'	b'A25'	0	0.9797	0.0168	0.9446
b'2:231973884'	b'A25'	0	0.9797	0.0168	0.4922
b'3:195515610'	b'A25'	0	0.9797	0.0168	0.5937
b'4:74442119'	b'A25'	0	0.9797	0.0168	0.5032
b'5:125894992'	b'A25'	0	0.9797	0.0168	0.9170
b'5:141025673'	b'A25'	0	0.9797	0.0168	0.7305
b'5:151043658'	b'A25'	0	0.9797	0.0168	0.9784
b'5:153975667'	b'A25'	0	0.9797	0.0168	0.5547
b'6:110763996'	b'A25'	0	0.9797	0.0168	0.5248
b'6:18143964'	b'A25'	0	0.9797	0.0168	0.5969
b'7:138603774'	b'A25'	0	0.9797	0.0168	0.5467
b'7:141776575'	b'A25'	0	0.9797	0.0168	0.9865
b'7:3991380'	b'A25'	0	0.9797	0.0168	0.7096
b'7:83591024'	b'A25'	0	0.9797	0.0168	0.7793
b'8:48846705'	b'A25'	0	0.9797	0.0168	0.5969
b'9:135781273'	b'A25'	0	0.9797	0.0168	0.5399
b'X:114400909'	b'A25'	0	0.9797	0.0168	0.6409
b'X:134155626'	b'A25'	0	0.9797	0.0168	0.6555
b'X:135427840'	b'A25'	0	0.9797	0.0168	0.7305
b'X:144909399'	b'A25'	0	0.9797	0.0168	0.6877
b'X:152968378'	b'A25'	0	0.9797	0.0168	0.7941
b'X:47426293'	b'A25'	0	0.9797	0.0168	0.9052
b'X:73961018'	b'A25'	0	0.9797	0.0168	0.6457
b'10:24909707'	b'A25'	1	0.4267	0.0242	0.4663
b'11:5068194'	b'A25'	1	0.4267	0.0242	0.5599
b'11:56468575'	b'A25'	1	0.4267	0.0242	0.9881
b'11:64799900'	b'A25'	1	0.4267	0.0242	0.4864
b'11:72084024'	b'A25'	1	0.4267	0.0242	0.5264
b'11:93432079'	b'A25'	1	0.4267	0.0242	0.4864
b'19:56719923'	b'A25'	1	0.4267	0.0242	0.4501
b'1:144859793'	b'A25'	1	0.4267	0.0242	0.6812
b'1:149858866'	b'A25'	1	0.4267	0.0242	0.5790
b'1:149858869'	b'A25'	1	0.4267	0.0242	0.5790
b'1:228646127'	b'A25'	1	0.4267	0.0242	0.4740
b'1:229771846'	b'A25'	1	0.4267	0.0242	0.9152
b'1:240370669'	b'A25'	1	0.4267	0.0242	0.7503
b'1:28898373'	b'A25'	1	0.4267	0.0242	0.4804
b'3:195346433'	b'A25'	1	0.4267	0.0242	0.7601
b'10:102240749'	b'A25'	2	0.6849	0.0125	0.8088
b'10:125516845'	b'A25'	2	0.6849	0.0125	0.7548
b'10:13275713'	b'A25'	2	0.6849	0.0125	0.6244
b'10:24880283'	b'A25'	2	0.6849	0.0125	0.7548
b'10:28345482'	b'A25'	2	0.6849	0.0125	0.8179
b'10:49459543'	b'A25'	2	0.6849	0.0125	0.6677
b'10:70497621'	b'A25'	2	0.6849	0.0125	0.7067
b'10:70947323'	b'A25'	2	0.6849	0.0125	0.6635
b'10:92654500'	b'A25'	2	0.6849	0.0125	0.8413
b'11:108709382'	b'A25'	2	0.6849	0.0125	0.6885
b'11:111851573'	b'A25'	2	0.6849	0.0125	0.6716
b'11:114569499'	b'A25'	2	0.6849	0.0125	0.6269
