mutation_id	sample_id	cluster_id	cellular_prevalence	cellular_prevalence_std	cluster_assignment_prob
b'10:102240749'	b'A25'	0	0.6857	0.0127	0.7813
b'10:125516845'	b'A25'	0	0.6857	0.0127	0.7295
b'10:13275713'	b'A25'	0	0.6857	0.0127	0.5934
b'10:24880283'	b'A25'	0	0.6857	0.0127	0.7295
b'10:28345482'	b'A25'	0	0.6857	0.0127	0.7918
b'10:49459543'	b'A25'	0	0.6857	0.0127	0.6443
b'10:70497621'	b'A25'	0	0.6857	0.0127	0.6793
b'10:70947323'	b'A25'	0	0.6857	0.0127	0.6388
b'10:92654500'	b'A25'	0	0.6857	0.0127	0.8130
b'11:108709382'	b'A25'	0	0.6857	0.0127	0.6595
b'11:111851573'	b'A25'	0	0.6857	0.0127	0.6472
b'11:114569499'	b'A25'	0	0.6857	0.0127	0.5986
b'11:117785137'	b'A25'	0	0.6857	0.0127	0.9041
b'11:118984667'	b'A25'	0	0.6857	0.0127	0.6916
b'11:120319865'	b'A25'	0	0.6857	0.0127	0.5874
b'11:1220666'	b'A25'	0	0.6857	0.0127	0.6289
b'11:124121212'	b'A25'	0	0.6857	0.0127	0.6649
b'11:18762157'	b'A25'	0	0.6857	0.0127	0.7117
b'11:35302536'	b'A25'	0	0.6857	0.0127	0.5467
b'11:36523019'	b'A25'	0	0.6857	0.0127	0.5550
b'11:4881463'	b'A25'	0	0.6857	0.0127	0.7428
b'11:49974489'	b'A25'	0	0.6857	0.0127	0.8981
b'11:56185719'	b'A25'	0	0.6857	0.0127	0.7505
b'11:60105318'	b'A25'	0	0.6857	0.0127	0.8125
b'11:64418820'	b'A25'	0	0.6857	0.0127	0.6025
b'11:64577088'	b'A25'	0	0.6857	0.0127	0.7018
b'11:6479090'	b'A25'	0	0.6857	0.0127	0.7295
b'12:101333193'	b'A25'	0	0.6857	0.0127	0.4704
b'12:104391346'	b'A25'	0	0.6857	0.0127	0.7718
b'12:109948172'	b'A25'	0	0.6857	0.0127	0.7302
b'12:110788164'	b'A25'	0	0.6857	0.0127	0.7077
b'12:119419762'	b'A25'	0	0.6857	0.0127	0.6289
b'12:120636315'	b'A25'	0	0.6857	0.0127	0.5934
b'12:124408347'	b'A25'	0	0.6857	0.0127	0.6624
b'12:40930656'	b'A25'	0	0.6857	0.0127	0.6624
b'12:41303730'	b'A25'	0	0.6857	0.0127	0.6565
b'12:49444328'	b'A25'	0	0.6857	0.0127	0.7348
b'12:53469579'	b'A25'	0	0.6857	0.0127	0.6815
b'12:53865387'	b'A25'	0	0.6857	0.0127	0.6762
b'12:70065261'	b'A25'	0	0.6857	0.0127	0.7564
b'12:71972514'	b'A25'	0	0.6857	0.0127	0.7334
b'12:77421686'	b'A25'	0	0.6857	0.0127	0.7295
b'12:86275999'	b'A25'	0	0.6857	0.0127	0.6915
b'12:95507475'	b'A25'	0	0.6857	0.0127	0.6172
b'14:20586037'	b'A25'	0	0.6857	0.0127	0.8575
b'14:21238676'	b'A25'	0	0.6857	0.0127	0.4917
b'14:21387883'	b'A25'	0	0.6857	0.0127	0.8373
b'14:22520972'	b'A25'	0	0.6857	0.0127	0.7490
b'14:42368126'	b'A25'	0	0.6857	0.0127	0.8251
b'14:50734497'	b'A25'	0	0.6857	0.0127	0.7564
b'14:68248192'	b'A25'	0	0.6857	0.0127	0.7718
b'14:70634411'	b'A25'	0	0.6857	0.0127	0.7718
b'14:74961092'	b'A25'	0	0.6857	0.0127	0.5022
b'14:75022223'	b'A25'	0	0.6857	0.0127	0.6443
b'14:80672664'	b'A25'	0	0.6857	0.0127	0.5997
b'14:94395509'	b'A25'	0	0.6857	0.0127	0.6156
b'15:25485136'	b'A25'	0	0.6857	0.0127	0.7640
b'15:25924959'	b'A25'	0	0.6857	0.0127	0.8394
b'15:27890374'	b'A25'	0	0.6857	0.0127	0.6316
b'15:28377426'	b'A25'	0	0.6857	0.0127	0.5543
b'15:42529815'	b'A25'	0	0.6857	0.0127	0.7117
b'15:43527163'	b'A25'	0	0.6857	0.0127	0.5221
b'15:43766824'	b'A25'	0	0.6857	0.0127	0.6366
b'15:56152975'	b'A25'	0	0.6857	0.0127	0.7564
b'15:57734668'	b'A25'	0	0.6857	0.0127	0.7348
b'15:68065017'	b'A25'	0	0.6857	0.0127	0.7071
b'15:68118999'	b'A25'	0	0.6857	0.0127	0.6819
b'15:75893542'	b'A25'	0	0.6857	0.0127	0.6565
b'15:80450420'	b'A25'	0	0.6857	0.0127	0.7328
b'15:88428937'	b'A25'	0	0.6857	0.0127	0.6366
b'15:93015487'	b'A25'	0	0.6857	0.0127	0.8184
b'15:99740178'	b'A25'	0	0.6857	0.0127	0.7918
b'16:10631909'	b'A25'	0	0.6857	0.0127	0.4766
b'16:167288'	b'A25'	0	0.6857	0.0127	0.5720
b'16:46598217'	b'A25'	0	0.6857	0.0127	0.5668
b'16:48158230'	b'A25'	0	0.6857	0.0127	0.5142
b'16:53532502'	b'A25'	0	0.6857	0.0127	0.5856
b'16:56703905'	b'A25'	0	0.6857	0.0127	0.5198
b'16:69988362'	b'A25'	0	0.6857	0.0127	0.5720
b'16:84035377'	b'A25'	0	0.6857	0.0127	0.6025
b'16:84779180'	b'A25'	0	0.6857	0.0127	0.7604
b'16:9923411'	b'A25'	0	0.6857	0.0127	0.5221
b'17:16329432'	b'A25'	0	0.6857	0.0127	0.6975
b'17:26970000'	b'A25'	0	0.6857	0.0127	0.8069
b'17:33592240'	b'A25'	0	0.6857	0.0127	0.7939
b'17:35609958'	b'A25'	0	0.6857	0.0127	0.6316
b'17:35656355'	b'A25'	0	0.6857	0.0127	0.6565
b'17:38318043'	b'A25'	0	0.6857	0.0127	0.4766
b'17:39553161'	b'A25'	0	0.6857	0.0127	0.7490
b'17:42982255'	b'A25'	0	0.6857	0.0127	0.7490
b'17:46259851'	b'A25'	0	0.6857	0.0127	0.7918
b'17:53068217'	b'A25'	0	0.6857	0.0127	0.7428
b'17:62049540'	b'A25'	0	0.6857	0.0127	0.7505
b'17:62923751'	b'A25'	0	0.6857	0.0127	0.7418
b'17:63206780'	b'A25'	0	0.6857	0.0127	0.7640
b'17:71192838'	b'A25'	0	0.6857	0.0127	0.7552
b'17:7577098'	b'A25'	0	0.6857	0.0127	0.7018
b'17:78327407'	b'A25'	0	0.6857	0.0127	0.7018
b'17:79852288'	b'A25'	0	0.6857	0.0127	0.7452
b'17:80367374'	b'A25'	0	0.6857	0.0127	0.7071
b'17:80684960'	b'A25'	0	0.6857	0.0127	0.5891
b'18:12115483'	b'A25'	0	0.6857	0.0127	0.8214
b'18:12125813'	b'A25'	0	0.6857	0.0127	0.8343
b'18:30257237'	b'A25'	0	0.6857	0.0127	0.5489
